PERMNO,HTICK,HCOMNAM,HTSYMBOL,CUSIP,BEGDAT,ENDDAT
10030,,ABEX CORP,,00338690,1925-12-31,1968-12-26
10031,,A A IMPORTING INC,ANTQE,00035410,1983-12-07,1989-08-16
10032,PLXS,PLEXUS CORP,PLXS,72913210,1986-02-05,2024-12-31
10033,,MIDAMERICA BANCSYSTEM INC,MABK,59591410,1986-02-05,1986-11-28
10034,,HOME & CITY SVGS BK ALBANY NY,HCSB,43687810,1986-02-06,1991-09-27
10035,,GOOD GUYS INC,GGUY,38209110,1986-02-06,2003-12-19
10036,,NEUROTECH CORP,NURO,64090210,1986-02-06,1991-03-06
10037,,FRANKLIN BANCORP INC,FBCP,35242V10,1986-02-06,2004-05-28
10038,,P O C I INC,POCIC,69348J10,1986-02-06,1991-01-29
10039,,AT COMM CORP,ATCM,00208K10,1986-02-07,2001-06-26
10040,,HARVARD GROUP PLC,HARYE,41741F20,1986-02-07,1989-06-15
10041,,4G DATA SYSTEMS INC,GGGG,35084910,1986-02-07,1990-05-16
10042,,CANYON RESOURCES CORP,CAU,13886930,1986-02-07,2008-03-18
10043,,ANALYSIS & TECHNOLOGY INC,AATI,03267210,1986-02-11,1999-06-23
10044,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,RMCF,77467X10,1986-02-11,2024-12-31
10045,,OLIVERS STORES INC,OLVQE,68100210,1986-02-11,1987-04-16
10046,,UNIVERSAL FRANCHISE OPPTYS CORP,MENU,91354910,1986-02-14,1995-03-15
10047,,LAMONTS APPAREL INC,LMNTQ,51362820,1986-02-11,1995-01-20
10048,,CENTURY COMMUNICATIONS CORP,CTYA,15650310,1986-02-12,1999-10-01
10049,,ABITIBI POWER & PAPER LTD,,00369890,1925-12-31,1932-09-28
10050,,A B C INVESTMENT CO,,00074210,1972-12-29,1978-06-16
10051,,HANGER INC,HNGR,41043F20,1986-02-14,2022-10-03
10052,,VIDEO LIBRARY INC,VLVL,92656610,1986-02-14,1988-03-30
10053,,CARDINAL INDUSTRIES INC,CDNI,14190010,1986-02-14,1990-01-19
10054,,BIO NUTRIONICS INC,BNUI,09057B10,1986-02-14,1987-01-22
10055,,GREAT AMERICAN RECREATION INC,GRARE,39000520,1986-02-14,1995-08-23
10056,,NEWMIL BANCORP INC,NMIL,65163310,1986-02-14,2006-10-06
10057,,ACME CLEVELAND CORP NEW,,00462610,1925-12-31,1996-07-02
10058,,A B K C O INDUSTRIES INC,ABKC,00077410,1972-12-14,1984-09-11
10059,,ORANGE FREE STATE INVESTMENT LTD,OFSLY,68486520,1986-02-24,1994-04-15
10060,,FREE STATE CONSOL GOLD CO LTD,FSCNY,35614220,1986-02-24,1998-06-25
10061,,UNITED SAVINGS BANK VIENNA VA,USBK,91138J10,1986-02-19,1990-07-30
10062,,ENVIROSOURCE INC,ENSO,29409K60,1986-02-19,1999-09-01
10063,,AMERICAN HEALTH SVCS CORP,AHTS,02691310,1986-02-19,1993-07-15
10064,,TYCO TOYS INC,,90212810,1986-02-20,1997-03-27
10065,ADX,ADAMS EXPRESS CO,ADX,00621210,1925-12-31,2024-12-31
10066,FKWL,FRANKLIN WIRELESS CORP,FKWL,35518410,1983-08-25,2024-12-31
10067,,HYGEIA SCIENCES INC,HYGA,44903510,1986-02-20,1987-03-11
10068,,AMERICAN PROPERTY GROUPS INC,APGI,02913410,1986-02-21,1986-11-17
10069,,ACA JOE INTERCON LTD,AJIL,00387110,1986-02-24,1987-01-16
10070,,DIGITEXT INC,DIGTE,25389410,1986-02-27,1990-11-20
10071,,ALEX BROWN INC,,01390210,1986-02-28,1997-08-29
10072,,SUMMA RX LABORATORIES INC,SMRXC,86563A10,1986-02-28,1992-09-30
10073,,ADVANCE RUMELY CORP,,00799090,1925-12-31,1938-07-27
10074,,A B S INDUSTRIES INC,ABSIE,00078110,1982-01-18,1996-03-13
10075,,V W R SCIENTIFIC PRODUCTS CORP,VWRX,91843510,1986-03-03,1999-07-27
10076,,SCAT HOVERCRAFT INC,SCAQE,80618710,1986-03-03,1990-05-31
10077,,SPROUSE REITZ STORES INC,STRSQ,85207020,1986-04-10,1994-01-10
10078,,SUN MICROSYSTEMS INC,JAVA,86681020,1986-03-04,2010-01-26
10079,,GENERAL COMPUTER CORP,GCCC,36938610,1986-03-04,1995-03-14
10080,,MOORE HANDLEY INC,MHCO,61576210,1986-03-05,2003-10-31
10081,,AHUMADA LEAD CO,,00899390,1925-12-31,1931-06-18
10082,,A C S ENTERPRISES,ACSE,00087230,1983-03-21,1995-09-28
10083,,CIMFLEX TEKNOWLEDGE CORP,CMTK,17185310,1986-03-05,1993-09-09
10084,,CRAFTMATIC INDUSTRIES INC,CRCCC,22412810,1986-03-05,1994-03-03
10085,,U I C I,UCI,90273710,1986-03-06,2006-04-04
10086,,L S B BANCSHARES INC SC,LBSC,50215910,1986-03-06,1994-06-30
10087,,BEAUTICONTROL COSMETICS INC,BUTI,07465510,1986-03-06,2000-10-18
10088,,V R BUSINESS BROKERS INC,VRBB,91828210,1986-03-06,1988-05-23
10089,,ALPHA TECHNOLOGIES GROUP INC,ATGIE,02078110,1986-03-07,2005-02-28
10090,,AMERICAN MOBILE SYSTEMS INC,AMSE,02755950,1986-03-07,1995-07-31
10091,,INTERACTIVE TECHNOLOGIES INC,ITXI,45837810,1986-03-07,1989-02-27
10092,,4 KIDS ENTERTAINMENT INC,KDE,35086510,1986-03-07,2010-05-28
10093,,AIRCOA HOSPITALITY SVCS INC,AIRC,00929H10,1986-03-07,1990-05-03
10094,,TUESDAY MORNING CORP,TUES,89903510,1986-03-07,1997-12-26
10095,,SYNERGEN INC,SYGN,87159410,1986-03-07,1994-12-29
10096,,CITIZENS BANK NC,CIBA,17411410,1986-03-11,1990-03-14
10097,,FACELIFTERS HOME SYSTEMS INC,FACE,30303130,1986-03-10,1996-04-25
10098,,POLY TECH INC,POLY,73168010,1986-03-11,1989-04-07
10099,,AMERICAN BIOMATERIALS CORP,ABCI,02461510,1986-03-11,1987-07-09
10100,,AMERICAN LEARNING CORP NY,ALRN,02713510,1986-03-11,2013-03-22
10101,,PACER CORP WA,PACR,69373C10,1986-03-12,1988-07-08
10102,,AIRCO INC,,00929210,1925-12-31,1978-05-05
10103,,A C S INDUSTRIES INC,ACSC,00087410,1977-03-23,1989-12-27
10104,ORCL,ORACLE CORP,ORCL,68389X10,1986-03-12,2024-12-31
10105,,TOPS MARKETS INC,TPPS,89053110,1986-03-12,1987-08-26
10106,,LINCOLN SAVINGS BANK CARNEGIE PA,LNSB,53473510,1986-03-12,1995-01-05
10107,MSFT,MICROSOFT CORP,MSFT,59491810,1986-03-13,2024-12-31
10108,,SUNGARD DATA SYSTEMS INC,SDS,86736310,1986-03-13,2005-08-11
10109,,MOUNTAIN WEST SAVINGS BANK F S B,MWSB,62450810,1986-03-13,1990-08-27
10110,,AJAX RUBR INC,,00999290,1925-12-31,1931-02-14
10111,,A D A FINANCIAL SERVICE CORP,,00088410,1972-12-14,1973-03-21
10112,,IFEX INC,IFEX,45169410,1986-03-13,1988-06-27
10113,AADR,ADVISORSHARES TRUST,AADR,00768Y20,2010-07-21,2024-12-31
10114,,ACCLAIM ENTERTAINMENT INC,AKLME,00432520,1988-06-22,2004-08-27
10115,,COMMUNITY SAVINGS BANK MA,CSBN,20404010,1986-03-14,1988-06-02
10116,,ACURA PHARMACEUTICALS INC,ACUR,00509L80,1986-03-14,2017-02-22
10117,,U M B EQUITIES INC,UMBE,90277910,1986-03-17,1987-10-09
10118,,CONSOLIDATED HYDRO INC,COHY,20934910,1986-03-18,1988-11-16
10119,,21ST CENTURY INSURANCE GROUP,TW,90130N10,1986-03-18,2007-09-27
10120,,PIPER JAFFRAY COS INC,,72408110,1986-03-18,1998-05-01
10121,,MARINE CORP IL,MCOR,56823410,1986-03-18,1991-12-31
10122,,MEDFORD BANCORP INC,MDBK,58413110,1986-03-18,2002-10-15
10123,,ACKERLEY GROUP INC,AK,00452710,1988-04-21,2002-06-14
10124,,LEARNING TECHNOLOGY INC,LERN,52201410,1986-03-19,1987-12-07
10125,,LEOS INDUSTRIES INC,,52668F10,1986-03-20,1991-08-30
10126,,ONE VALLEY BANCORP INC,,68241910,1986-03-20,2000-07-06
10127,,PARIS BUSINESS FORMS INC,PBFI,69955610,1986-03-25,2002-04-17
10128,,DISPLAY TECHNOLOGIES INC,DTEKE,25469V10,1986-03-25,2001-02-23
10129,,ALL AMER CABLES INC,,01699090,1925-12-31,1927-04-01
10130,,FIRST CITIZENS CORP,FSTC,31958810,1986-03-25,1999-07-09
10131,,S B T CORP CT,SBTC,78387710,1986-03-26,1991-09-18
10132,,NATIONAL INDUSTRIAL BANCORP INC,NIBCA,63644610,1986-03-26,1989-11-09
10133,,TELEQUEST INC,TELQ,87949110,1986-03-27,1990-10-18
10134,,EMPIRE GAS CORP NEW,EGCS,29171410,1986-04-01,1988-11-02
10135,,FIRST FEDERAL SVGS ARKANSAS FA,FARKC,32019B10,1986-04-01,1989-02-23
10136,,COMMUNICATION CABLE INC,CABL,20337810,1986-04-01,1996-03-07
10137,,ALLEGHENY ENERGY INC,AYE,01736110,1925-12-31,2011-02-25
10138,TROW,T ROWE PRICE GROUP INC,TROW,74144T10,1986-04-02,2024-12-31
10139,,ADMIRAL FINANCIAL CORP,ADFCC,00718010,1988-06-21,1989-09-26
10140,,SEALRIGHT COMPANY INC,SRCO,81213810,1986-04-02,1998-06-30
10141,,GANDER MOUNTAIN INC,GNDR,36471910,1986-04-02,1996-07-17
10142,,IMTEC INC,IMTC,45290910,1986-04-03,2000-04-03
10143,,O S I PHARMACEUTICALS INC,OSIP,67104010,1986-04-03,2010-06-08
10144,,NATIONAL INSTITUTE CAREERS INC,NICE,63651510,1986-04-04,1988-09-28
10145,HON,HONEYWELL INTERNATIONAL INC,HON,43851610,1925-12-31,2024-12-31
10146,,A E C INC,AECE,00101510,1972-12-14,1988-04-26
10147,,E M C CORP MA,EMC,26864810,1986-04-04,2016-09-06
10148,,TRADITIONAL INDUSTRIES INC,TRADE,89268220,1986-04-04,1991-04-22
10149,,EAGLE BANCSHARES INC,EBSI,26942C10,1986-04-04,2002-07-19
10150,,TLII LIQUIDATING CORP,TLII,87255510,1986-04-04,1998-02-03
10151,,ADVISORSHARES TRUST,AGLS,00768Y40,2010-07-09,2015-08-07
10152,,ADVANCE DISPLAY TECHNOLOGIES INC,ADTI,00742210,1986-04-08,1990-05-24
10153,,ALLIS CHALMERS CORP,,01964510,1925-12-31,1988-12-02
10154,,A E L INDUSTRIES INC,AELNA,00103010,1972-12-14,1996-02-22
10155,,ELECTRIC & GAS TECHNOLOGY INC,ELGTD,28485330,1986-04-08,2001-06-13
10156,,HANSON JOHN BANCORP INC,JHSL,41133710,1986-04-08,1991-05-07
10157,,NORTH SIDE SAVINGS BANK BRONX,NSBK,66248810,1986-04-08,1996-12-31
10158,AMRC,AMERESCO INC,AMRC,02361E10,2010-07-22,2024-12-31
10159,,INTERFERENCE CONTROL TECHS IND,ICTXE,45866T10,1986-04-09,1990-06-26
10160,,SANDATA TECHNOLOGIES,SAND,79977820,1986-04-10,2003-05-30
10161,,AMAX INC,,02312710,1925-12-31,1993-11-15
10162,,A E S TECHNOLOGY SYSTEMS INC,,00103210,1973-01-12,1981-03-04
10163,,X RITE INC,XRIT,98385710,1986-04-10,2012-05-14
10164,,CAMBRIDGE ANALYTICAL ASSOC INC,CAAN,13214710,1986-04-10,1989-09-08
10165,,LAFAYETTE BANCORP INC,LBNK,50589210,1986-04-11,1988-02-09
10166,,LONG LAKE ENERGY CORP,LLEC,54276710,1986-04-11,1992-10-05
10167,,ENCHANTED VILLAGE INC,EVAAQ,29251130,1986-04-11,1987-06-12
10168,,ARNOX CORP,ARNXC,04262410,1986-04-14,1989-04-21
10169,,SPORTS MARKETING INC,PADCE,84890610,1986-04-14,1987-09-21
10170,,FAMILY STEAK HOUSES FL INC,RYFL,30705920,1986-04-14,2003-05-09
10171,,CHARTWELL GROUP LTD,CTWLE,16190610,1986-04-14,1990-05-16
10172,,GRANITE COOP BK NORTH QUINCY MA,GNTE,38733010,1986-04-16,1991-12-12
10173,,SEABOARD BANCORP INC,SEAB,81151110,1986-04-16,1996-02-01
10174,,JEFFERSON NATIONAL BANK NY,JNBK,47424310,1986-04-17,1993-02-26
10175,,BARRYS JEWELERS INC,BARYQ,06889130,1986-04-17,1997-07-11
10176,,THERMAL EXPLORATION CO,TECC,88346910,1986-04-18,1992-06-29
10177,,DETWILER MITCHELL & CO,DMCO,25146410,1986-04-21,2003-07-02
10178,,GOLDEN BOOKS FAMILY ENT INC,GBFE,38080410,1986-04-22,1999-02-16
10179,,R C S B FINANCIAL INC,RCSB,74937110,1986-04-22,1997-10-03
10180,,AKORN INC,AKRX,00972810,1988-04-08,2020-05-29
10181,,MUNICIPAL DEVELOPMENT CORP,MUNIE,62591210,1986-04-22,1990-03-02
10182,,TECH DATA CORP,TECD,87823710,1986-04-23,2020-06-29
10183,,E R C INDUSTRIES INC,ERCO,26890210,1986-04-23,1986-10-28
10184,,ALFA INTERNATIONAL CORP,ALFE,01538910,1988-02-29,1992-04-21
10185,,MERRILL CORP,MRLL,59017510,1986-04-24,1999-11-23
10186,,SOUTHWEST CAPITAL CORP,SWCC,84479710,1986-04-24,1990-04-03
10187,,HEALTHPLEX INC,HPLX,42191810,1986-04-24,1998-03-16
10188,,AMBAC INDUSTRIES INC,,02314110,1925-12-31,1978-07-14
10189,,A F A PROTECTIVE SYSTEMS INC,AFAP,00103810,1972-12-14,1988-02-09
10190,,COLOROCS CORP,CLRQC,19680710,1986-04-25,1992-01-22
10191,,TEXCEL INTERNATIONAL INC,TXEL,88290230,1986-04-25,1990-03-02
10192,,M S CARRIERS INC,MSCA,55353310,1986-04-25,2001-06-29
10193,,OSPREY HOLDING INC,OSPY,68840210,1986-04-28,1994-08-16
10194,,SOMERSET GROUP INC,SOMR,83470610,1986-04-28,2000-09-29
10195,,COMMONWEALTH TELE ENTRPS INC,CTCOB,20334920,1986-04-28,2003-09-03
10196,,AMERICAN & FGN PWR INC,,02366390,1925-12-31,1967-12-29
10197,,A F C O A,,00105210,1972-12-14,1973-02-20
10198,,DEL PAINT CORP,DELA,24528210,1986-04-28,1991-10-18
10199,,ARBOR DRUGS INC,ARBR,03876010,1986-04-29,1998-03-31
10200,RGEN,REPLIGEN CORP,RGEN,75991610,1986-04-29,2024-12-31
10201,,ATLANTIC POWER CORP,AT,04878Q86,2010-07-23,2021-05-14
10202,,CAPITAL WIRE & CABLE CORP,CWCC,14053010,1986-04-29,1988-08-23
10203,,PIONEER BANCORP INC,PSBN,72356K10,1986-04-30,1993-09-23
10204,,UNITEL CORP,UNTL,91325210,1986-05-01,1987-05-06
10205,,L S B CORP,LSBX,50215P10,1986-05-02,2010-11-30
10206,,EDUCATION SYSTEMS & PUB CORP,ESPC,28190020,1986-05-02,1990-05-03
10207,FUND,SPROTT FOCUS TRUST INC,FUND,85208J10,1988-06-07,2024-12-31
10208,,INSTRUCTIVISION INC,ISTC,45778910,1986-05-05,1992-05-01
10209,,AMERICAN AGRIC CHEM CO,,02399290,1925-12-31,1963-10-21
10210,,FIRST FEDERAL SVGS BK GA WINDER,FSBG,32019D10,1986-05-05,1991-11-01
10211,,WESTCORP INC,WES,95790710,1986-05-05,2006-02-28
10212,,INFRASONICS INC,IFRA,45683430,1986-05-06,1996-06-27
10213,,AMERICAN TRAVELLERS CORP,ATVC,03029010,1986-05-06,1996-12-17
10214,,PLASTI LINE INC,SIGN,72754010,1986-05-06,1998-01-29
10215,,UNITED STATES VIDEO VENDING CORP,VVCOE,91288R10,1986-05-07,1987-08-13
10216,,WORLDWIDE XCEED GROUP INC,XCED,98160920,1986-05-07,2001-04-30
10217,,AMERICAN BANK NOTE CO,,02437510,1925-12-31,1970-01-16
10218,,A F P IMAGING CORP,AFPC,00105810,1980-10-14,1999-03-19
10219,,TELESIS SYSTEMS CORP,TLSS,87992210,1986-05-07,1987-05-11
10220,BWXT,B W X TECHNOLOGIES INC,BWXT,05605H10,2010-08-02,2024-12-31
10221,,IMAGE MANAGEMENT SYSTEMS INC,IMSR,45244010,1986-05-07,1988-06-03
10222,,FRETTER INC,FTTR,35832120,1986-05-07,1996-02-26
10223,,CAMELOT INFORMATION SYSTEMS INC,CIS,13322V10,2010-07-21,2014-03-27
10224,,REGENCY CRUISES INC,SHIP,75884810,1986-05-07,1993-05-25
10225,,BEAM INC,BEAM,07373010,1925-12-31,2014-04-30
10226,,A G C INDUSTRIES INC,,00108010,1972-12-14,1973-10-09
10227,,KIMMINS CORP,KISC,49446810,1986-05-07,1988-10-31
10228,,INTERFUND CORP,IFNDE,45867R10,1986-05-07,1990-06-21
10229,,NORTH AMERICAN COMMUNS CORP NEW,NACS,65679810,1986-05-07,1988-03-01
10230,,ANDOVER BANCORP INC DEL,ANDB,03425810,1986-05-08,2001-10-31
10231,,COMMUNITY BANKSHARES INC NH,CBNH,20363010,1986-05-08,1997-08-29
10232,,ELMIRA SAVINGS BANK NY,ESBK,28966010,1986-05-08,2022-05-13
10233,,AMERICAN BROADCASTING COS INC,,02473510,1925-12-31,1986-01-03
10234,,A G M INDUSTRIES INC,AGMN,00122010,1972-12-14,1983-07-28
10235,,PHOTOWORKS INC,FOTO,71940B10,1986-05-08,2001-08-21
10236,,WEBSTER CLOTHES INC,WEBS,94780010,1986-05-08,1990-10-04
10237,,INTERNATIONAL SURGICAL & PHRM CP,SURG,46040710,1986-05-08,1988-09-14
10238,,GREAT LAKES BANCORP INC NEW,GLK,39091410,1986-05-09,2008-02-15
10239,,PROTECTIVE INSURANCE CORP,PTVCB,74368L20,1986-05-09,2021-05-28
10240,,WOMENS HEALTH CNTRS OF AMER INC,WOMN,97815810,1986-05-09,1988-05-13
10241,,PRIMERICA CORP,,74158710,1925-12-31,1988-12-15
10242,,TRANS FINANCIAL INC,TRFI,89323N10,1986-05-12,1998-08-21
10243,,ATLANFED BANCORP INC,AFED,04765910,1986-05-12,1995-03-31
10244,,POLLUTION RESEARCH & CTRL CORP,UDET,73154730,1986-05-12,2002-06-18
10245,,SHELLY ASSOCIATES INC,SHLY,82282410,1986-05-13,1992-11-09
10246,,MID SOUTH INSURANCE CO,MIDS,59543310,1986-05-13,1996-02-29
10247,,GANTOS INC NEW,GTOS,36473U20,1986-05-13,1999-12-29
10248,,CIMCO INC,CIMC,17184210,1986-05-13,1996-02-23
10249,,SPORTSMANS GUIDE INC,GIDE,84890710,1986-05-13,1988-10-13
10250,,MERIDIAN NATIONAL CORP,MRCO,58977440,1986-05-13,1997-12-03
10251,,FLAGSHIP FINANCIAL CORP,FLGF,33841310,1986-05-14,1992-11-20
10252,INDB,INDEPENDENT BANK CORP MA,INDB,45383610,1986-05-14,2024-12-31
10253,DSS,D S S INC,DSS,26253C20,1986-05-14,2024-12-31
10254,,STERLING INC,STRL,85935910,1986-05-14,1987-08-26
10255,,VERTICOM INC,VERT,92532510,1986-05-15,1988-08-31
10256,,MICROLOG CORP,MLOG,59507910,1986-05-15,2001-07-23
10257,DLHC,D L H HOLDINGS CORP,DLHC,23335Q10,1986-05-15,2024-12-31
10258,CLDX,CELLDEX THERAPEUTICS INC,CLDX,15117B20,1986-05-15,2024-12-31
10259,,SIGMA DESIGNS INC,SIGM,82656510,1986-05-15,2018-08-24
10260,,ALLSTAR VIDEO INC,ASVD,01989310,1986-05-15,1990-08-27
10261,,MOUNTAINEER BANKSHARES WV,MTNR,62450910,1986-05-15,1994-01-28
10262,,COGNITIVE SYSTEMS INC,CSAI,19242810,1986-05-16,1990-12-10
10263,,MERRIMACK BANCORP INC MA,MRMK,59027010,1986-05-16,1991-01-09
10264,,UNIVATION INC,UNIV,91335410,1986-05-16,1989-03-17
10265,,F & M FINANCIAL SVCS CORP,FMFS,30237210,1986-05-16,1992-05-08
10266,,STERLING BANCSHARES CORP,STLG,85890610,1986-05-16,1994-08-15
10267,,NIAGARA EXCHANGE CORP,NIEX,65336610,1986-05-16,1992-08-27
10268,,AMERICAN CONSUMER INDS INC,,02523110,1925-12-31,1974-01-11
10269,,A I A INDUSTRIES INC,AIAIQ,00132010,1983-07-21,1984-09-26
10270,,SAVECO INC,SVCO,80516010,1986-05-16,1987-12-21
10271,,MASSBANK CORP,MASB,57615210,1986-05-28,2008-09-03
10272,,TEKELEC,TKLC,87910110,1986-05-16,2012-01-27
10273,,LANDMARK BANK FOR SAVINGS MA,LDMK,51505210,1986-05-19,1992-06-16
10274,,BETA PHASE INC,BETAC,08659210,1986-05-19,1989-09-19
10275,,SENETEK PLC,SNTK,81720930,1986-05-19,2004-11-09
10276,,AMERICAN CRYSTAL SUGAR CO,,02530310,1925-12-31,1973-02-21
10277,,A I D INC DE,,00136010,1972-12-14,1978-06-15
10278,,WHEELABRATOR TECHNOLOGIES INC NW,,96290130,1986-05-20,1998-03-30
10279,,GENETICS INSTITUTE INC,GENI,37185510,1986-05-20,1992-01-16
10280,,PROTOCOM DEVICES INC,PRCME,74371810,1986-05-20,1987-07-20
10281,,AUTOINFO INC,AUTOC,05277710,1986-05-20,1998-07-21
10282,,BRENDLES INC,BRDLQ,10709010,1986-05-21,1997-01-16
10283,,APPLIED OPTICS INC,APOP,03822420,1986-05-21,1987-12-07
10284,,AMERICAN EXPRESS CO,,02581690,1925-12-31,1939-07-31
10285,,A I M TELEPHONES INC,,00142310,1981-10-29,1992-01-17
10286,,PROSPECT GROUP INC,PROS,74291850,1986-05-21,1997-01-06
10287,,A T I MEDICAL INC,,00207510,1986-05-20,1992-05-29
10288,,BEAR AUTOMOTIVE SVC EQUIP CO,BEAR,07378610,1986-05-22,1988-09-14
10289,,ANGIO MEDICAL CORP,ANME,03475510,1988-04-05,1990-07-30
10290,,HARLEYSVILLE GROUP INC,HGIC,41282410,1986-05-23,2012-04-30
10291,,FAMIGLIA BRANDS INC,FAMIC,30686010,1986-05-27,1988-12-23
10292,,AMERICAN CHICLE CO,,02599090,1925-12-31,1962-10-02
10293,,A I N LEASING CORP,AINSE,00142510,1983-06-15,1985-10-01
10294,HVTA,HAVERTY FURNITURE COS INC,HVTA,41959620,1986-05-27,2024-12-31
10295,,MICRO MEMBRANES INC,MEMB,59486110,1986-05-27,1988-08-25
10296,,GRENADA SUNBURST SYS CORP,GSSC,39769910,1986-05-27,1994-12-30
10297,,LAKE SUNAPEE BANK GROUP,LSBG,51086610,1986-05-27,2017-01-13
10298,,AQUASCIENCES INTERNATIONAL INC,AQSIC,03838L10,1986-05-27,1992-08-19
10299,,LINEAR TECHNOLOGY CORP,LLTC,53567810,1986-05-28,2017-03-10
10300,,WORLDWIDE COMPUTER SVCS INC,WCSI,98155610,1986-05-28,1992-08-03
10301,,TRANSFORM LOGIC CORP,TLOGC,89365820,1986-05-29,1990-05-31
10302,,CYPRESS SEMICONDUCTOR CORP,CY,23280610,1986-05-29,2020-04-15
10303,,PRIME CAPITAL CORP,PMCPE,74191010,1986-05-29,2000-06-09
10304,,AMCORE FINANCIAL INC,AMFI,02391210,1986-05-29,2010-04-23
10305,,AMERICAN DRUGGISTS SYND,,02599290,1925-12-31,1929-01-10
10306,,A I T S INC,,00144410,1972-12-14,1974-10-16
10307,,MILLER BUILDING SYSTEMS INC,MBSI,60040410,1986-05-29,2000-10-31
10308,TMP,TOMPKINS FINANCIAL CORP,TMP,89011010,1986-06-02,2024-12-31
10309,,SKANEATELES BANCORP INC,SKAN,83050610,1986-06-02,1999-07-01
10310,,WORLDGROUP COMPANIES INC,TOUAE,98155H10,1986-06-02,1988-07-12
10311,,ALLISONS PLACE INC,ALLS,01990210,1986-06-03,1988-07-07
10312,,PREMIER TECHNOLOGY HOLDING INC,PTHI,74057610,1986-06-03,1986-09-17
10313,,AMERICAN INTERNATIONAL CORP,,02686610,1925-12-31,1968-12-31
10314,,A M COMMUNICATIONS INC,AMCI,00167410,1980-10-07,1988-08-25
10315,,NETWORK VIDEO INC,NVID,64121810,1986-06-03,1988-02-24
10316,,CAMERA PLATFORMS INTL INC,CMPL,13325510,1986-06-03,1993-06-23
10317,,SOUTHERNNET INC,SOUT,84415110,1986-06-03,1988-12-14
10318,BCPC,BALCHEM CORP,BCPC,05766520,1986-06-03,2024-12-31
10319,,FIRST INTER BANCORP INC,FIBI,32054T10,1986-06-04,1994-08-19
10320,,AMERICAN BIONETICS INC,AMBIQ,02461810,1986-06-04,1990-11-21
10321,,AMERICAN MOTORS CORP,,02762710,1925-12-31,1987-08-05
10322,,BROOKFIELD BANCSHARES CORP,BFBS,11258710,1986-06-04,1991-03-28
10323,,COMPUTER AIDED TIME SHARE INC,CADS,20485810,1986-06-05,1987-08-10
10324,,GENZYME CORP,GENZ,37291710,1986-06-05,2011-04-08
10325,,CASUAL MALE CORP MASS,CMAL,14871010,1986-06-05,2001-05-17
10326,,NYTEST ENVIRONMENTAL INC,NYTS,67077310,1986-06-05,1996-09-26
10327,,UNITED SAVINGS BANK SALEM,USBA,91138F10,1986-06-05,1990-03-02
10328,,SOMATIX THERAPY CORP,SOMA,83444710,1986-06-05,1997-06-02
10329,,STATESWEST AIRLINES INC,SWAL,85765740,1986-06-06,1992-04-21
