,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_FSBA,listingSubType.is_openHouse,listingSubType.is_comingSoon,listingSubType.is_newHome
10,,SINGLE_FAMILY,0.72,"3400 Sheryl Dr, Raleigh, NC 27604",-1,385000,,-78.57968,35.824543,,FOR_SALE,6421523,https://photos.zillowstatic.com/fp/3bc5e2e3e16b3fab5d28724a43ad2955-p_e.jpg,1579,2,acres,USA,USD,3,True,True,,,
11,,SINGLE_FAMILY,3920.4,"1812 Crag Burn Ln, Raleigh, NC 27604",-1,399000,,-78.54289,35.808014,,FOR_SALE,6557134,https://photos.zillowstatic.com/fp/c50843384aaf2c12f038934c748ece0d-p_e.jpg,1620,3,sqft,USA,USD,3,True,True,,,
12,,SINGLE_FAMILY,8712.0,"1112 Oakwood Ave, Raleigh, NC 27601",-1,399900,,-78.62387,35.78424,,FOR_SALE,6427013,https://photos.zillowstatic.com/fp/ac8aab191c45ebd73234fde9bc78f477-p_e.jpg,1553,2,sqft,USA,USD,5,True,True,,,
13,,SINGLE_FAMILY,0.54,"1308 Woodline Dr, Raleigh, NC 27603",-1,392000,,-78.65608,35.630116,,FOR_SALE,60535636,https://photos.zillowstatic.com/fp/db377b5fc533da4cacb416e5d1966383-p_e.jpg,1582,2,acres,USA,USD,3,True,True,,,
14,,SINGLE_FAMILY,10454.4,"3709 Notchmill Dr, Raleigh, NC 27616",-1,385000,,-78.51548,35.883396,,FOR_SALE,62024589,https://photos.zillowstatic.com/fp/555ff4268c454254aa601f99e93c2be0-p_e.jpg,1520,3,sqft,USA,USD,3,True,,,True,
15,,SINGLE_FAMILY,7840.8,"5401 Cahaba Way, Raleigh, NC 27616",-1,385000,,-78.55151,35.888973,,FOR_SALE,60538249,https://photos.zillowstatic.com/fp/5a38f0584021c6390a1c9791866a3943-p_e.jpg,2107,3,sqft,USA,USD,4,True,,,True,
16,,SINGLE_FAMILY,1.0,"6000 Buffaloe Rd, Raleigh, NC 27616",-1,385000,,-78.541,35.84168,,FOR_SALE,6401551,https://photos.zillowstatic.com/fp/9991e1c975041c8469092ac995768226-p_e.jpg,1986,2,acres,USA,USD,3,True,True,True,,
17,,SINGLE_FAMILY,0.69,"2024 Queen Charlotte Pl, Raleigh, NC 27610",-1,389900,,-78.45879,35.725143,,FOR_SALE,6495793,https://photos.zillowstatic.com/fp/5836af6bf7863a55db9fbbd235a04900-p_e.jpg,1860,2,acres,USA,USD,3,True,True,,,
18,,SINGLE_FAMILY,0.48,"1409 Woodline Dr, Raleigh, NC 27603",-1,394000,,-78.65888,35.628727,,FOR_SALE,60535622,https://photos.zillowstatic.com/fp/c46206fa72c08f29aa06b17e6b92428e-p_e.jpg,1598,3,acres,USA,USD,3,True,True,,,
19,,SINGLE_FAMILY,6098.4,"1006 Carlton Ave, Raleigh, NC 27606",-1,399000,,-78.68858,35.784138,,FOR_SALE,119341856,https://photos.zillowstatic.com/fp/93a7d00f023aef836a62620e0e00a8c8-p_e.jpg,1200,2,sqft,USA,USD,4,True,True,,,
20,,SINGLE_FAMILY,1.13,"4912 Elizabeth Dr, Raleigh, NC 27604",-1,400000,,-78.53259,35.847,,FOR_SALE,6407247,https://photos.zillowstatic.com/fp/95e45fde114035d63752e7433d8a5bee-p_e.jpg,2344,2,acres,USA,USD,3,True,,,True,
21,,SINGLE_FAMILY,0.25,"7213 Summerland Dr, Raleigh, NC 27612",-1,392000,,-78.65694,35.87336,,FOR_SALE,6468969,https://photos.zillowstatic.com/fp/b72ef6e2d6e8debeec2a5836eeb9bdc2-p_e.jpg,1769,3,acres,USA,USD,4,True,True,,,
22,,SINGLE_FAMILY,0.38,"3213 Broyhill Cir, Raleigh, NC 27604",-1,398000,,-78.600105,35.83373,,FOR_SALE,6380435,https://photos.zillowstatic.com/fp/5df865301d2ec745a495fd7b97d4bfc2-p_e.jpg,1831,2,acres,USA,USD,4,True,,,True,
23,,SINGLE_FAMILY,0.26,"4124 Green Rd, Raleigh, NC 27604",-1,400000,,-78.59049,35.83995,,FOR_SALE,6439315,https://photos.zillowstatic.com/fp/212c51d1bdbcc6c3642b6e5ce5a48d52-p_e.jpg,1415,2,acres,USA,USD,3,True,True,True,,
24,,SINGLE_FAMILY,,"Newton Plan, Dayton Woods",-1,396990,,-78.69208,35.61554,,FOR_SALE,2067586597,https://photos.zillowstatic.com/fp/a1d6a2b89aeda20272d76fa094377385-p_e.jpg,1564,2,,USA,USD,3,True,,,,True
25,,SINGLE_FAMILY,3920.4,"5037 Village Lawn Dr, Raleigh, NC 27613",-1,399000,,-78.74346,35.9228,,FOR_SALE,6559925,https://photos.zillowstatic.com/fp/bd620d0ceee0e4d5efc6639c3131e4d3-p_e.jpg,1758,3,sqft,USA,USD,3,True,,,True,
26,,SINGLE_FAMILY,9583.2,"108 Penncross Dr, Raleigh, NC 27610",-1,399900,,-78.541794,35.780025,,FOR_SALE,132281371,https://photos.zillowstatic.com/fp/f0752cb72f3045dd0841dd2b7aa59511-p_e.jpg,1438,2,sqft,USA,USD,3,True,,,,True
27,,SINGLE_FAMILY,3.85,"10401 20th Rd, Raleigh, NC 27603",-1,389900,,-78.63279,35.641823,,FOR_SALE,60535607,https://photos.zillowstatic.com/fp/46c41f7fd7d58145892a71d94b6ed2ca-p_e.jpg,1550,3,acres,USA,USD,3,True,True,,,
28,,SINGLE_FAMILY,,"Quinn Plan, Dayton Woods",-1,378990,,-78.69208,35.61554,,FOR_SALE,2067586596,https://photos.zillowstatic.com/fp/168e23d69867a47125c69d2ddab470ee-p_e.jpg,1270,2,,USA,USD,2,True,,,,True
29,,SINGLE_FAMILY,,"Dunlin Plan, 540 West",-1,399990,,-78.52478,35.808277,,FOR_SALE,2077439454,https://photos.zillowstatic.com/fp/2d60398bc9368ed44082484ff5ca53e3-p_e.jpg,1510,2,,USA,USD,3,True,,,,True
